dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
uniprot_r539166_c223,539166,160,0.3,1,1,14.7723,13.5289,8.60759,0,1.14163,1.24339,1.20016,0.0375356,1325,782,286303,286227,13,768,5306275,623,1995636
uniprot_r539166_c223,539166,160,0.3,1,1,14.6923,13.5467,8.62167,0,1.14324,1.14556,1.12857,0.0125602,1277,854,286302,286227,13,787,1372337,623,1996000
uniprot_r539166_c223,539166,160,0.3,1,1,14.7661,13.5326,8.62136,0,1.14391,1.23348,1.1952,0.0308519,1255,824,286288,286227,13,792,2644778,623,1995840
uniprot_r539166_c223,539166,160,0.3,1,1,14.7789,13.539,8.62554,0,1.13859,1.23997,1.20035,0.0341277,1240,792,286272,286227,13,779,5198262,623,1995944
uniprot_r539166_c223,539166,160,0.3,1,1,14.7241,13.5832,8.67281,0,1.13892,1.14085,1.12634,0.0111674,178,732,286292,286227,13,718,1296705,623,1995636
uniprot_r539166_c223,539166,160,0.3,1,1,14.7368,13.5288,8.60433,0,1.14497,1.20803,1.17126,0.0315173,977,792,286274,286227,13,777,4911095,623,1995872
uniprot_r539166_c223,539166,160,0.3,1,1,14.723,13.5652,8.65519,0,1.14474,1.15782,1.1363,0.0124699,929,799,286310,286227,13,773,1446168,623,1995620
uniprot_r539166_c223,539166,160,0.3,1,1,14.7496,13.5554,8.63427,0,1.14257,1.19421,1.16946,0.0192969,1865,764,286286,286227,13,740,2147798,623,1995908
uniprot_r539166_c223,539166,160,0.3,1,1,14.7657,13.5576,8.62804,0,1.145,1.20809,1.16336,0.0369893,1858,804,286352,286227,13,770,2936972,623,1995620
uniprot_r539166_c223,539166,160,0.3,1,1,14.7864,13.5346,8.61706,0,1.14543,1.25175,1.13837,0.0997549,1717,838,286341,286227,13,809,7339034,623,1995840
