dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,77.0681,4.77404,3.47527,0,0.434486,72.294,0.169881,64.7048,394834,209648,46381,30037,10572,196301,1377153308,137478,564500
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,80.1113,4.74274,3.43896,0,0.439498,75.3685,0.168185,67.0883,442640,210215,46407,30037,10572,195793,1442784536,137478,564548
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,75.6495,4.77281,3.47461,0,0.434719,70.8766,0.16835,63.4506,402618,210151,46185,30037,10572,196259,1331137538,137478,564308
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,76.9404,4.76478,3.4658,0,0.43446,72.1756,0.15832,64.4758,449134,210514,46284,30037,10572,196479,1359956394,137478,564464
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,75.8145,4.78737,3.48687,0,0.435457,71.0271,0.178645,63.4738,393343,209941,46383,30037,10572,196156,1371663159,137478,564692
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,77.2416,4.77772,3.46805,0,0.439587,72.4639,0.165683,64.5141,425452,211042,46350,30037,10572,197269,1379372555,137478,564620
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,82.8421,4.77801,3.47519,0,0.435158,78.0641,0.180759,69.9306,481330,211326,46301,30037,10572,196502,1493959476,137478,564312
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,78.1165,4.78518,3.48355,0,0.436362,73.3313,0.175261,65.1591,414574,210008,46468,30037,10572,196081,1389886636,137478,564576
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,75.3171,4.85683,3.53012,0,0.443985,70.4603,0.162849,62.9343,411895,209919,46011,30037,10572,196219,1326484137,137478,564552
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,71.1737,4.82751,3.5062,0,0.445572,66.3462,0.163877,58.7745,398034,209211,46295,30037,10572,195859,1251033229,137478,564500
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,84.7728,4.83614,3.51531,0,0.443954,79.9366,0.164214,71.7799,440528,210449,46218,30037,10572,196248,1524968430,137478,564688
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,77.513,4.84446,3.52254,0,0.443434,72.6685,0.179166,64.6903,423613,211258,46328,30037,10572,196678,1372259831,137478,564532
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,85.5237,4.85981,3.51997,0,0.444638,80.6639,0.17337,72.302,467967,210989,46404,30037,10572,196212,1498832035,137478,564480
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,75.6707,4.83217,3.51186,0,0.44391,70.8385,0.169819,63.1527,408695,209753,46281,30037,10572,196057,1336960480,137478,564564
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,86.8344,4.83759,3.51834,0,0.442955,81.9968,0.16986,73.546,473538,211340,46016,30037,10572,196280,1525330714,137478,564688
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,80.2477,4.84449,3.52522,0,0.443308,75.4032,0.173179,67.2163,441518,210792,46216,30037,10572,196685,1402950980,137478,564576
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,69.8028,4.82671,3.50667,0,0.442974,64.9761,0.167952,56.9799,391752,210999,46464,30037,10572,197532,1214947962,137478,564268
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,69.0878,4.82878,3.50446,0,0.443067,64.259,0.177537,56.7698,391191,209732,46538,30037,10572,196474,1207452731,137478,564476
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,70.5581,4.84376,3.52083,0,0.443207,65.7143,0.171781,58.2083,403150,209823,46446,30037,10572,196394,1254553930,137478,564624
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,79.4505,4.82533,3.50394,0,0.442451,74.6252,0.168775,66.8239,422067,210483,46201,30037,10572,196252,1404386266,137478,564268
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,82.833,4.84206,3.51609,0,0.443112,77.9909,0.176407,70.1979,459347,210914,46261,30037,10572,196299,1440444317,137478,564592
tpch_denormalized_r6001216_c52,500000,52,0.3,0,0,78.9475,4.82921,3.51242,0,0.442888,74.1183,0.1716,65.9523,411171,209528,46356,30037,10572,196063,1382259362,137478,564600
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,75.8648,4.84291,3.5247,0,0.443637,71.0219,0.167941,63.4918,381135,208743,46443,30037,10572,195930,1326228092,137478,564600
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,75.7707,4.83698,3.51707,0,0.443748,70.9337,0.170271,63.5977,391703,208689,46415,30037,10572,195865,1342013712,137478,564296
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,79.6104,4.83704,3.51587,0,0.442741,74.7733,0.17489,67.233,434691,209485,46184,30037,10572,195758,1400939533,137478,564348
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,80.3435,4.83425,3.5123,0,0.442417,75.5092,0.169514,67.5058,458886,210141,46231,30037,10572,196076,1406727367,137478,564248
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,79.7997,4.83682,3.51155,0,0.446118,74.9629,0.166234,67.1354,442070,211288,46203,30037,10572,196815,1416464474,137478,564288
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,77.127,4.8424,3.51955,0,0.444315,72.2846,0.17274,65.031,398426,209106,46161,30037,10572,195832,1383080579,137478,564672
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,78.7167,4.82957,3.51179,0,0.443735,73.8871,0.166132,66.1249,392224,209211,46349,30037,10572,195938,1400799933,137478,564668
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,74.3077,4.85237,3.53402,0,0.445514,69.4553,0.169341,61.7686,431697,209969,46538,30037,10572,196577,1308435453,137478,564444
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,75.1413,4.83271,3.51172,0,0.44401,70.3086,0.164521,63.2568,406239,209314,46224,30037,10572,196152,1323774697,137478,564444
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,77.1499,4.83062,3.51195,0,0.443998,72.3193,0.175534,64.7768,395212,209038,46358,30037,10572,196042,1364238389,137478,564532
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,77.9,4.88628,3.54617,0,0.443847,73.0137,0.17228,65.5965,435536,209297,46629,30037,10572,195877,1351051862,137478,564444
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,77.3559,4.84211,3.52524,0,0.442435,72.5138,0.167474,65.1175,438396,210002,46390,30037,10572,196166,1373666071,137478,564636
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,75.7947,4.85039,3.5276,0,0.444569,70.9443,0.1641,63.61,435084,209703,46368,30037,10572,196011,1309417146,137478,564548
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,73.6679,4.84145,3.52018,0,0.443617,68.8265,0.169255,61.6525,369270,208334,46400,30037,10572,195522,1302545706,137478,564672
tpch_denormalized_r6001216_c52,500000,52,0.3,0,1,78.553,4.86625,3.54611,0,0.443216,73.6867,0.171423,66.0854,430432,209431,46424,30037,10572,195882,1390832734,137478,564508
